date,time,category,quantity,price
2015-01-01,11:38:36,Classic,1,13.25
2015-01-01,11:57:40,Classic,1,16.0
2015-01-01,11:57:40,Veggie,1,18.5
2015-01-01,11:57:40,Supreme,1,20.75
2015-01-01,11:57:40,Veggie,1,16.0
2015-01-01,11:57:40,Chicken,1,20.75
2015-01-01,12:12:28,Supreme,1,16.5
2015-01-01,12:12:28,Supreme,1,20.75
2015-01-01,12:16:31,Supreme,1,16.5
2015-01-01,12:21:30,Supreme,1,16.5
2015-01-01,12:29:36,Chicken,1,12.75
2015-01-01,12:29:36,Classic,1,12.0
2015-01-01,12:50:37,Supreme,1,12.5
2015-01-01,12:51:37,Supreme,1,12.5
2015-01-01,12:52:01,Classic,1,12.0
2015-01-01,12:52:01,Veggie,1,12.0
2015-01-01,12:52:01,Classic,1,20.5
2015-01-01,12:52:01,Supreme,1,20.75
2015-01-01,12:52:01,Supreme,1,12.5
2015-01-01,12:52:01,Veggie,1,12.0
2015-01-01,12:52:01,Supreme,1,20.75
2015-01-01,12:52:01,Veggie,1,20.75
2015-01-01,12:52:01,Veggie,1,12.0
2015-01-01,13:00:15,Veggie,1,20.25
2015-01-01,13:00:15,Chicken,1,20.75
2015-01-01,13:02:59,Chicken,1,20.75
2015-01-01,13:02:59,Chicken,1,20.75
2015-01-01,13:02:59,Chicken,1,16.75
2015-01-01,13:02:59,Classic,1,15.25
2015-01-01,13:04:41,Chicken,1,20.75
2015-01-01,13:04:41,Chicken,1,12.75
2015-01-01,13:04:41,Chicken,1,20.75
2015-01-01,13:04:41,Supreme,1,16.5
2015-01-01,13:11:55,Veggie,1,20.25
2015-01-01,13:14:19,Classic,1,12.0
2015-01-01,13:33:00,Classic,1,12.0
2015-01-01,13:33:00,Veggie,1,18.5
2015-01-01,13:33:00,Supreme,1,20.75
2015-01-01,13:33:00,Classic,1,12.0
2015-01-01,13:34:07,Veggie,1,17.95
2015-01-01,13:34:07,Classic,1,12.0
2015-01-01,13:34:07,Chicken,1,20.75
2015-01-01,13:53:00,Chicken,1,20.75
2015-01-01,13:53:00,Supreme,1,16.25
2015-01-01,13:53:00,Veggie,1,18.5
2015-01-01,13:53:00,Veggie,1,14.75
2015-01-01,13:53:00,Supreme,1,16.5
2015-01-01,13:53:00,Veggie,1,12.75
2015-01-01,13:53:00,Veggie,2,16.0
2015-01-01,13:53:00,Veggie,1,20.25
2015-01-01,13:53:00,Supreme,1,12.5
2015-01-01,13:53:00,Veggie,1,20.25
2015-01-01,13:57:08,Classic,1,20.5
2015-01-01,13:59:09,Classic,1,20.5
2015-01-01,13:59:09,Supreme,1,20.25
2015-01-01,14:03:08,Classic,1,12.0
2015-01-01,14:03:08,Veggie,1,18.5
2015-01-01,14:14:29,Classic,1,20.5
2015-01-01,14:16:26,Veggie,1,18.5
2015-01-01,14:16:26,Classic,1,16.0
2015-01-01,14:16:26,Chicken,1,20.75
2015-01-01,14:19:03,Chicken,1,12.75
2015-01-01,14:23:01,Chicken,1,16.75
2015-01-01,14:23:01,Classic,1,16.0
2015-01-01,14:23:01,Classic,1,12.5
2015-01-01,14:23:01,Supreme,1,12.5
2015-01-01,14:44:44,Supreme,1,16.25
2015-01-01,14:44:44,Chicken,1,20.75
2015-01-01,14:54:26,Classic,1,12.0
2015-01-01,14:54:26,Veggie,1,20.25
2015-01-01,15:11:17,Chicken,1,20.75
2015-01-01,15:11:17,Classic,1,16.0
2015-01-01,15:11:17,Veggie,1,20.25
2015-01-01,15:35:46,Chicken,1,12.75
2015-01-01,15:41:01,Veggie,1,12.0
2015-01-01,15:41:25,Chicken,1,20.75
2015-01-01,15:50:18,Veggie,1,16.0
2015-01-01,15:50:18,Classic,1,9.75
2015-01-01,15:53:18,Classic,1,12.0
2015-01-01,15:53:18,Veggie,1,20.25
2015-01-01,15:53:18,Classic,1,20.5
2015-01-01,15:53:18,Supreme,1,16.5
2015-01-01,15:54:08,Chicken,1,20.75
2015-01-01,15:54:08,Veggie,1,12.0
2015-01-01,16:21:21,Classic,1,12.0
2015-01-01,16:32:04,Veggie,1,16.0
2015-01-01,16:32:04,Classic,1,17.5
2015-01-01,16:32:04,Classic,1,12.5
2015-01-01,16:32:04,Chicken,1,20.75
2015-01-01,16:54:09,Chicken,1,16.75
2015-01-01,16:54:09,Classic,1,16.0
2015-01-01,16:56:09,Supreme,1,20.75
2015-01-01,16:56:09,Veggie,1,20.25
2015-01-01,17:03:00,Classic,1,10.5
2015-01-01,17:03:00,Classic,1,20.5
2015-01-01,17:07:23,Supreme,1,20.75
2015-01-01,17:14:36,Veggie,1,17.95
2015-01-01,17:14:36,Chicken,1,12.75
2015-01-01,17:15:20,Veggie,1,14.75
2015-01-01,17:15:20,Veggie,1,12.0
2015-01-01,17:28:09,Classic,1,12.0
2015-01-01,17:28:09,Veggie,1,18.5
2015-01-01,17:28:09,Veggie,1,20.25
2015-01-01,17:28:09,Supreme,1,16.5
2015-01-01,17:38:34,Chicken,1,16.75
2015-01-01,17:38:34,Supreme,1,16.5
2015-01-01,17:38:34,Supreme,1,20.75
2015-01-01,17:54:20,Veggie,1,12.5
2015-01-01,17:55:48,Veggie,1,17.95
2015-01-01,17:55:48,Classic,1,10.5
2015-01-01,17:55:48,Chicken,1,16.75
2015-01-01,18:25:51,Chicken,1,20.75
2015-01-01,18:25:51,Classic,1,20.5
2015-01-01,18:25:51,Chicken,1,16.75
2015-01-01,18:26:34,Chicken,1,20.75
2015-01-01,18:26:34,Veggie,1,12.0
2015-01-01,18:26:42,Chicken,1,16.75
2015-01-01,18:26:42,Veggie,1,12.0
2015-01-01,18:26:42,Supreme,1,20.75
2015-01-01,18:26:42,Supreme,1,20.75
2015-01-01,18:33:00,Supreme,1,20.25
2015-01-01,18:41:01,Classic,1,25.5
2015-01-01,18:48:28,Chicken,1,20.75
2015-01-01,18:48:28,Classic,1,17.5
2015-01-01,18:53:02,Classic,1,16.5
2015-01-01,18:53:02,Veggie,1,20.25
2015-01-01,18:53:02,Supreme,1,20.75
2015-01-01,18:54:17,Classic,1,11.0
2015-01-01,18:54:17,Supreme,1,16.5
2015-01-01,19:01:45,Supreme,1,16.5
2015-01-01,19:01:45,Chicken,1,20.75
2015-01-01,19:03:19,Supreme,1,12.5
2015-01-01,19:03:19,Supreme,1,20.75
2015-01-01,19:07:00,Classic,1,16.0
2015-01-01,19:07:00,Veggie,1,20.25
2015-01-01,19:07:00,Chicken,1,16.75
2015-01-01,19:10:51,Classic,1,16.0
2015-01-01,19:30:40,Veggie,1,18.5
2015-01-01,19:30:40,Classic,1,12.5
2015-01-01,19:40:08,Veggie,1,12.75
2015-01-01,19:40:08,Classic,1,11.0
2015-01-01,19:40:08,Classic,1,15.25
2015-01-01,20:05:16,Chicken,1,20.75
2015-01-01,20:05:16,Veggie,1,14.75
2015-01-01,20:08:43,Chicken,1,16.75
2015-01-01,20:08:43,Supreme,1,20.75
2015-01-01,20:50:16,Chicken,1,16.75
2015-01-01,20:50:16,Supreme,1,16.5
2015-01-01,20:51:42,Classic,1,14.5
2015-01-01,20:52:08,Classic,1,12.0
2015-01-01,21:16:00,Classic,1,11.0
2015-01-01,21:16:00,Supreme,1,12.25
2015-01-01,21:16:00,Supreme,1,12.5
2015-01-01,21:16:00,Supreme,1,16.5
2015-01-01,21:47:55,Classic,1,16.0
2015-01-01,21:47:55,Classic,1,16.0
2015-01-01,22:03:40,Chicken,1,20.75
2015-01-01,22:07:32,Classic,1,16.0
2015-01-01,22:07:32,Supreme,1,20.75
2015-01-01,22:07:32,Supreme,1,16.5
2015-01-01,22:12:13,Chicken,1,20.75
2015-01-02,11:38:51,Veggie,1,12.75
2015-01-02,11:38:51,Supreme,1,20.75
2015-01-02,11:40:50,Chicken,1,20.75
2015-01-02,11:57:25,Veggie,1,20.25
2015-01-02,11:58:56,Chicken,1,12.75
2015-01-02,12:01:12,Veggie,1,18.5
2015-01-02,12:01:12,Veggie,1,20.25
2015-01-02,12:01:12,Veggie,1,12.5
2015-01-02,12:01:12,Supreme,1,20.75
2015-01-02,12:10:15,Supreme,1,12.5
2015-01-02,12:10:15,Veggie,1,20.25
2015-01-02,12:10:15,Classic,1,20.5
2015-01-02,12:21:17,Classic,1,12.0
2015-01-02,12:21:17,Classic,1,16.5
2015-01-02,12:21:17,Veggie,1,21.0
2015-01-02,12:21:17,Supreme,1,20.75
2015-01-02,12:22:46,Chicken,1,16.75
2015-01-02,12:22:46,Classic,1,13.25
2015-01-02,12:28:14,Classic,1,12.0
2015-01-02,12:28:14,Classic,1,12.0
2015-01-02,12:28:14,Veggie,1,17.95
2015-01-02,12:28:14,Classic,1,16.0
2015-01-02,12:28:14,Supreme,3,20.75
2015-01-02,12:28:14,Chicken,1,12.75
2015-01-02,12:29:11,Classic,1,20.5
2015-01-02,12:29:11,Classic,1,11.0
2015-01-02,12:29:11,Chicken,1,20.75
2015-01-02,12:35:38,Classic,1,9.75
2015-01-02,12:35:38,Chicken,1,16.75
2015-01-02,12:40:01,Chicken,1,20.75
2015-01-02,12:45:51,Classic,1,12.0
2015-01-02,12:45:51,Chicken,1,16.75
2015-01-02,12:45:51,Supreme,1,20.75
2015-01-02,12:45:51,Veggie,1,16.0
2015-01-02,12:53:27,Chicken,1,12.75
2015-01-02,13:13:41,Classic,1,15.25
2015-01-02,13:34:49,Classic,1,16.0
2015-01-02,13:34:49,Classic,1,12.0
2015-01-02,13:34:49,Supreme,1,20.75
2015-01-02,13:34:49,Classic,1,16.0
2015-01-02,13:40:31,Classic,1,16.5
2015-01-02,14:01:02,Classic,1,16.0
2015-01-02,14:01:02,Veggie,1,16.0
2015-01-02,14:01:02,Supreme,1,20.75
2015-01-02,14:01:02,Supreme,1,12.5
2015-01-02,14:10:08,Veggie,1,18.5
2015-01-02,14:30:19,Supreme,1,20.75
2015-01-02,14:30:19,Chicken,1,20.75
2015-01-02,15:08:48,Supreme,1,20.25
2015-01-02,15:08:48,Chicken,1,12.75
2015-01-02,15:14:43,Chicken,2,20.75
2015-01-02,15:14:43,Chicken,1,12.75
2015-01-02,15:14:43,Classic,1,9.75
2015-01-02,15:17:02,Chicken,1,16.75
2015-01-02,15:17:02,Supreme,1,20.75
2015-01-02,15:17:02,Supreme,1,16.5
2015-01-02,15:17:02,Veggie,1,12.75
2015-01-02,15:17:02,Classic,1,12.5
2015-01-02,15:17:02,Supreme,1,16.5
2015-01-02,15:17:02,Veggie,1,12.0
2015-01-02,15:17:02,Supreme,1,12.5
2015-01-02,15:17:02,Classic,2,16.0
2015-01-02,15:29:31,Supreme,1,16.25
2015-01-02,16:17:16,Classic,1,16.0
2015-01-02,16:17:16,Chicken,1,12.75
2015-01-02,16:18:04,Classic,1,12.0
2015-01-02,16:18:04,Supreme,1,20.75
2015-01-02,16:21:20,Classic,1,12.0
2015-01-02,16:45:33,Classic,1,12.0
2015-01-02,17:18:18,Classic,1,20.5
2015-01-02,17:18:18,Classic,1,20.5
2015-01-02,17:45:42,Supreme,1,20.75
2015-01-02,17:46:17,Classic,1,16.5
2015-01-02,17:51:33,Chicken,1,20.75
2015-01-02,17:51:33,Classic,1,15.25
2015-01-02,17:51:33,Supreme,1,20.75
2015-01-02,17:51:33,Supreme,1,16.5
2015-01-02,17:54:04,Chicken,1,12.75
2015-01-02,17:54:04,Supreme,1,12.5
2015-01-02,18:02:09,Supreme,1,12.5
2015-01-02,18:02:12,Chicken,1,16.75
2015-01-02,18:02:12,Chicken,1,16.75
2015-01-02,18:02:12,Veggie,1,16.75
2015-01-02,18:02:12,Veggie,1,20.25
2015-01-02,18:12:01,Classic,2,10.5
2015-01-02,18:12:01,Classic,1,15.25
2015-01-02,18:12:01,Supreme,1,16.5
2015-01-02,18:12:13,Veggie,1,20.25
2015-01-02,18:12:13,Supreme,1,20.75
2015-01-02,18:25:09,Chicken,1,20.75
2015-01-02,18:25:09,Supreme,1,16.5
2015-01-02,18:25:09,Supreme,1,20.75
2015-01-02,18:25:09,Veggie,1,20.25
2015-01-02,18:25:25,Classic,1,20.5
2015-01-02,18:25:25,Classic,1,16.5
2015-01-02,18:25:25,Supreme,1,20.75
2015-01-02,18:27:50,Classic,1,20.5
2015-01-02,18:27:50,Supreme,1,20.75
2015-01-02,18:27:50,Classic,1,12.5
2015-01-02,18:27:50,Supreme,1,20.75
